Trade DATE,VTIP,AGG,MUB,BNDX,EMB,JPST,GBIL,SHV,OIL,OILK,BNO,COG,GLD,BAR,UGL,DBP,ZI,ZG
2021-02-17,51.4,116.28,117.26,57.6,112.72,50.795,100.13,110.525,17.49,54.16,16.03,18.58,166.32,17.635,58.54,50.055,54.04,193.55
2021-02-18,51.34,116.2,116.905,57.53,112.61,50.795,100.135,110.53,17.2,53.18,15.78,18.07,166.32,17.63,58.485,49.94,55.32,186.92
2021-02-19,51.32,115.83,116.68,57.375,112.0,50.8035,100.135,110.525,16.9882,52.34,15.59,18.56,167.0,17.7,58.98,50.2213,54.74,191.55
2021-02-22,51.41,115.49,116.18,57.34,111.23,50.8026,100.13,110.525,17.63,54.61,16.19,18.34,169.47,17.98,60.75,51.17,51.33,173.49
2021-02-23,51.455,115.52,116.05,57.305,111.39,50.81,100.13,110.5211,17.805,55.02,16.33,18.03,169.12,17.93,60.5299,50.78,53.26,175.175
2021-02-24,51.48,115.47,115.81,57.23,111.57,50.8,100.13,110.53,18.2,56.05,16.67,19.18,168.98,17.925,60.365,50.8767,56.53,172.22
2021-02-25,51.18,114.41,115.3,56.78,109.55,50.795,100.13,110.51,18.18,56.1546,16.6,18.9,165.82,17.58,58.14,50.0531,53.24,159.33
2021-02-26,51.4,115.37,115.58,57.135,110.07,50.79,100.13,110.515,17.6832,54.56,16.21,18.51,161.8,17.16,55.31,48.81,52.42,169.72
2021-03-01,51.455,115.13,115.39,57.37,110.32,50.78,100.12,110.53,17.32,53.5,15.9799,18.86,161.55,17.13,55.03,48.62,56.5,175.8
2021-03-02,51.56,115.12,115.59,57.37,110.22,50.77,100.125,110.51,17.17,52.89,15.74,18.77,162.4,17.22,55.67,48.99,56.27,168.89
2021-03-03,51.54,114.71,115.44,57.19,109.6,50.7623,100.13,110.52,17.64,54.3,16.12,18.68,160.63,17.035,54.47,48.23,47.725,152.93
2021-03-04,51.47,114.36,115.5,57.1,108.65,50.755,100.12,110.51,18.47,56.93,16.91,18.66,159.04,16.86,53.29,47.44,45.57,137.64
2021-03-05,51.495,114.285,115.51,57.16,108.61,50.76,100.13,110.515,19.07,58.79,17.51,18.97,159.12,16.875,53.39,47.6,45.9,139.96
2021-03-08,51.3499,113.84,115.62,57.06,106.77,50.7301,100.125,110.51,18.68,57.37,17.08,19.07,157.49,16.7,52.24,47.155,43.66,130.01
2021-03-09,51.42,114.25,115.93,57.22,107.99,50.725,100.125,110.51,18.5101,56.77,16.93,18.54,160.83,17.05,54.4999,48.3105,47.21,142.56
2021-03-10,51.53,114.45,116.12,57.26,109.03,50.73,100.125,110.5101,18.74,57.61,17.18,19.2,161.66,17.14,55.09,48.465,46.82,149.02
2021-03-11,51.65,114.44,116.23,57.345,109.82,50.72,100.12,110.51,19.15,58.77,17.55,19.29,161.51,17.115,54.95,48.34,48.74,160.88
2021-03-12,51.595,113.79,115.82,57.125,108.47,50.73,100.13,110.515,19.0,58.42,17.42,18.8,161.48,17.12,55.0399,48.31,48.3349,157.05
2021-03-15,51.6364,113.94,116.16,57.27,109.17,50.72,100.12,110.51,18.941,58.28,17.35,18.95,162.2,17.2099,55.4599,48.635,47.67,155.99
2021-03-16,51.72,113.87,116.23,57.215,109.55,50.72,100.13,110.515,18.81,57.78,17.19,18.84,162.36,17.215,55.51,48.46,48.34,150.09
2021-03-17,51.72,113.87,116.0,57.1,110.46,50.72,100.13,110.525,18.76,57.7,17.125,18.53,163.53,17.335,56.33,49.13,48.61,148.97
2021-03-18,51.55,113.42,115.57,56.97,108.97,50.72,100.13,110.5289,17.46,53.14,15.7857,17.9,162.57,17.24,55.6,48.6485,47.2,137.705
2021-03-19,51.54,113.5,115.63,57.07,109.3,50.75,100.13,110.53,18.01,54.98,16.27,18.05,163.27,17.315,56.18,48.887,48.84,141.57
2021-03-22,51.58,113.75,115.72,57.125,109.52,50.75,100.135,110.52,17.95,54.7,16.23,18.01,163.01,17.29,55.98,48.5518,54.63,143.89
2021-03-23,51.56,114.04,115.81,57.29,109.155,50.74,100.13,110.53,17.04,51.48,15.305,17.95,161.82,17.165,55.17,48.12,56.25,140.88
2021-03-24,51.66,114.17,115.98,57.35,109.47,50.745,100.13,110.52,17.884,54.305,16.14,18.24,162.36,17.22,55.6,48.1957,54.315,133.13
2021-03-25,51.595,114.095,116.02,57.4,109.22,50.74,100.13,110.53,17.26,52.285,15.56,18.73,161.81,17.15,55.1,48.1584,54.43,131.07
2021-03-26,51.64,113.93,115.97,57.29,109.26,50.745,100.135,110.5201,17.91,54.421,16.25,19.195,162.27,17.2099,55.46,48.04,52.91,132.0156
2021-03-29,51.585,113.72,115.91,57.16,108.685,50.745,100.13,110.525,18.09,55.07,16.405,19.24,160.32,17.0,54.09,47.5487,49.73,122.57
2021-03-30,51.535,113.815,116.07,57.1,108.73,50.76,100.135,110.52,17.7317,54.03,16.15,18.78,157.57,16.71,52.24,46.59,49.09,126.34
2021-03-31,51.54,113.82,116.06,57.115,108.86,50.75,100.13,110.515,17.52,53.06,15.88,18.79,160.01,16.96,53.89,47.4,48.9,131.5
2021-04-01,51.59,114.02,115.96,57.15,109.31,50.73,100.13,110.52,18.11,54.755,16.31,19.09,161.98,17.175,55.24,48.09,48.12,135.58
2021-04-05,51.54,113.81,115.88,57.0823,109.25,50.73,100.12,110.5199,17.43,52.62,15.715,18.55,161.9,17.17,55.14,47.945,47.54,137.14
2021-04-06,51.55,114.21,116.12,57.21,109.62,50.73,100.12,110.53,17.67,53.12,15.85,18.485,163.23,17.315,56.07,48.4297,48.0,143.76
2021-04-07,51.6,114.03,116.145,57.2,109.24,50.725,100.13,110.53,17.669,53.37,15.93,18.48,162.77,17.26,55.7101,48.34,48.04,141.37
2021-04-08,51.66,114.3,116.33,57.27,109.83,50.73,100.12,110.525,17.67,53.22,15.98,17.8501,164.52,17.45,56.91,48.83,47.99,149.19
2021-04-09,51.64,114.18,116.34,57.1628,109.59,50.72,100.13,110.525,17.5401,53.105,15.91,17.38,163.28,17.31,56.06,48.4114,47.26,147.6
2021-04-12,51.64,114.15,116.39,57.12,109.77,50.72,100.12,110.5101,17.69,53.41,15.97,16.96,162.3,17.21,55.31,48.0,47.32,144.68
2021-04-13,51.71,114.46,116.54,57.18,110.34,50.72,100.12,110.51,17.96,54.04,16.12,16.71,163.44,17.34,56.16,48.61,49.0,146.14
2021-04-14,51.72,114.38,116.62,57.1,110.24,50.72,100.13,110.515,18.62,56.31,16.76,16.95,162.72,17.26,55.66,48.37,48.16,139.27
2021-04-15,51.76,114.81,117.035,57.235,111.58,50.73,100.125,110.52,18.69,56.61,16.86,16.83,165.33,17.54,57.44,49.19,47.51,143.4
2021-04-16,51.75,114.54,116.96,57.14,111.21,50.725,100.13,110.51,18.63,56.46,16.86,16.565,166.37,17.64,58.16,49.51,47.91,135.91
2021-04-19,51.74,114.44,116.92,57.07,111.15,50.725,100.13,110.51,18.68,56.67,16.93,16.56,165.9,17.595,57.7984,49.235,47.38,134.68
2021-04-20,51.745,114.62,116.99,57.17,110.86,50.735,100.13,110.51,18.42,55.94,16.77,16.39,166.49,17.66,58.23,49.48,45.63,131.56
2021-04-21,51.735,114.74,117.0,57.225,111.06,50.745,100.13,110.51,18.03,54.52,16.39,16.41,168.13,17.825,59.3701,50.095,49.1,137.04
2021-04-22,51.75,114.77,117.05,57.225,111.25,50.75,100.13,110.51,18.16,55.03,16.52,16.37,167.05,17.72,58.63,49.67,49.6,134.14
2021-04-23,51.755,114.75,117.075,57.17,111.38,50.74,100.12,110.515,18.3605,55.51,16.66,16.13,166.39,17.65,58.11,49.39,51.33,138.94
2021-04-26,51.76,114.65,117.08,57.15,110.92,50.75,100.12,110.51,18.27,55.32,16.57,16.43,166.84,17.7,58.4201,49.58,53.04,143.66
2021-04-27,51.8,114.37,117.03,57.075,110.29,50.76,100.12,110.51,18.61,56.425,16.84,16.79,166.42,17.645,58.13,49.59,52.21,141.77
2021-04-28,51.95,114.44,116.97,57.08,110.68,50.75,100.12,110.52,18.76,57.02,16.98,16.98,166.93,17.7,58.45,49.56,52.51,139.07
2021-04-29,51.99,114.37,116.75,56.925,110.8,50.75,100.125,110.51,19.12,57.95,17.29,17.06,166.26,17.625,57.96,49.42,52.04,135.17
2021-04-30,51.99,114.5,116.75,56.96,111.08,50.75,100.12,110.515,18.65,56.705,16.97,16.68,165.67,17.565,57.56,49.16,51.88,133.35
2021-05-03,52.07,114.4,116.47,56.91,110.62,50.725,100.12,110.515,19.0297,57.5663,17.18,17.08,167.84,17.797,59.1,50.18,49.91,129.11
2021-05-04,52.155,114.5285,116.445,56.99,110.75,50.73,100.125,110.52,19.43,58.74,17.543,17.19,166.56,17.665,58.17,49.74,48.5,123.57
2021-05-05,52.27,114.61,116.56,56.995,110.88,50.72,100.12,110.515,19.29,58.315,17.485,17.47,167.31,17.75,58.74,49.9,46.48,115.27
2021-05-06,52.2188,114.65,116.66,56.98,111.1,50.735,100.12,110.5104,19.249,57.95,17.36,17.1,170.06,18.04,60.63,50.89,45.57,114.01
2021-05-07,52.26,114.645,116.83,56.92,111.6,50.74,100.125,110.5101,19.21,58.01,17.35,17.39,171.6,18.2,61.84,51.35,42.98,119.4
2021-05-10,52.3056,114.43,116.74,56.9,111.35,50.72,100.125,110.52,19.31,57.95,17.36,17.695,172.14,18.255,62.19,51.27,42.53,113.85
2021-05-11,52.24,114.19,116.605,56.78,111.08,50.7278,100.125,110.52,19.44,58.4261,17.45,17.41,172.15,18.255,62.14,51.48,43.31,116.14
2021-05-12,52.29,113.79,116.42,56.63,110.09,50.715,100.12,110.51,19.57,58.89,17.59,17.5,170.43,18.08,60.92,50.8955,42.02,109.88
2021-05-13,52.24,114.015,116.39,56.635,110.61,50.72,100.13,110.515,18.99,57.05,17.045,17.18,171.14,18.16,61.4038,51.05,39.711,108.3
2021-05-14,52.355,114.28,116.67,56.7,111.22,50.74,100.13,110.5199,19.35,58.45,17.475,17.77,172.68,18.32,62.48,51.5,40.16,113.33
2021-05-17,52.4389,114.165,116.67,56.635,111.16,50.73,100.1216,110.52,19.6699,59.3,17.69,18.31,174.72,18.54,64.05,52.28,39.99,111.59
2021-05-18,52.435,114.07,116.69,56.625,111.17,50.75,100.13,110.51,19.48,58.7297,17.51,17.82,175.01,18.579,64.26,52.4499,40.68,110.46
2021-05-19,52.24,113.92,116.53,56.57,110.69,50.75,100.12,110.52,18.8,56.7999,16.995,18.0,175.16,18.58,64.3194,52.259,41.33,109.84
2021-05-20,52.235,114.29,116.65,56.67,111.41,50.75,100.13,110.51,18.42,55.6,16.61,17.755,175.96,18.66,64.86,52.2952,43.2,113.85
2021-05-21,52.304,114.32,116.68,56.735,111.183,50.75,100.125,110.52,18.89,57.22,17.005,17.81,176.04,18.68,65.0019,52.31,42.36,111.51
2021-05-24,52.39,114.455,116.74,56.77,111.29,50.745,100.12,110.51,19.53,58.84,17.45,16.6,176.38,18.705,65.21,52.55,42.83,114.81
2021-05-25,52.42,114.74,116.91,56.91,111.82,50.76,100.13,110.52,19.42,58.75,17.43,16.45,177.93,18.8796,66.42,52.98,42.13,113.81
2021-05-26,52.37,114.69,117.04,57.025,111.86,50.7677,100.13,110.5116,19.56,59.07,17.54,16.7,177.63,18.84,66.1299,52.74,42.95,116.31
2021-05-27,52.365,114.545,117.005,56.895,111.61,50.7625,100.125,110.51,19.73,59.4518,17.64,16.385,177.78,18.84,66.22,52.9299,44.22,116.72
2021-05-28,52.385,114.51,116.99,56.93,111.9,50.76,100.13,110.5,19.7,59.22,17.6,16.4,178.31,18.915,66.6426,52.7776,43.84,118.269
2021-06-01,52.425,114.34,116.84,56.87,111.67,50.745,100.12,110.505,20.11,60.44,17.99,16.465,177.93,18.875,66.33,52.95,42.75,115.68
2021-06-02,52.42,114.485,116.94,56.9375,111.81,50.745,100.12,110.51,20.3,61.125,18.19,17.04,178.75,18.96,66.985,53.245,43.52,113.53
2021-06-03,52.355,114.21,116.95,56.855,111.28,50.74,100.12,110.5,20.32,61.25,18.21,16.81,175.25,18.59,64.3,52.0989,41.8,110.27
2021-06-04,52.44,114.665,117.12,56.99,112.03,50.74,100.115,110.505,20.49,61.6551,18.28,16.93,177.17,18.79,65.73,52.74,44.23,110.45
2021-06-07,52.39,114.595,117.11,56.94,111.78,50.74,100.115,110.51,20.45,61.6,18.24,16.86,177.88,18.87,66.3374,52.85,44.755,114.41
2021-06-08,52.35,114.82,117.25,57.03,112.19,50.74,100.11,110.5,20.75,62.3801,18.46,17.02,177.3,18.805,65.82,52.7,44.75,115.27
2021-06-09,52.275,115.05,117.55,57.135,112.57,50.74,100.12,110.51,20.58,62.079,18.37,17.22,176.97,18.765,65.57,52.66,44.88,113.81
2021-06-10,52.4181,115.3,117.61,57.2,112.79,50.735,100.115,110.505,20.68,62.41,18.48,17.295,177.73,18.855,66.26,52.75,46.32,112.67
2021-06-11,52.32,115.24,117.53,57.3,112.89,50.74,100.115,110.49,20.81,62.539,18.525,17.28,175.7,18.635,64.61,52.39,46.43,113.47
2021-06-14,52.3,114.97,117.58,57.155,112.24,50.75,100.11,110.49,20.88,62.85,18.635,16.91,174.73,18.54,63.84,52.04,46.34,116.58
2021-06-15,52.365,114.995,117.51,57.1,112.44,50.745,100.11,110.49,21.21,63.6897,18.93,16.88,174.09,18.46,63.37,51.94,44.99,111.21
2021-06-16,52.11,114.63,117.195,57.0,111.57,50.74,100.115,110.49,21.11,63.47,18.88,16.57,171.09,18.14,61.1918,50.97,49.02,108.83
2021-06-17,52.195,114.99,117.31,57.06,111.92,50.73,100.115,110.49,20.72,62.49,18.64,15.895,165.87,17.605,57.4774,49.21,50.6,113.66
2021-06-18,52.1213,115.29,117.325,57.08,112.27,50.72,100.1,110.485,20.9,62.81,18.72,15.33,164.9,17.51,56.71,49.11,51.4,117.99
2021-06-21,52.17,114.96,117.18,57.03,112.2,50.7175,100.105,110.48,21.25,64.02,19.11,15.93,166.93,17.715,58.0671,49.46,52.0,113.8
2021-06-22,52.305,115.11,117.2,57.04,112.14,50.73,100.1,110.48,21.335,61.24,19.11,16.06,166.26,17.64,57.64,49.44,51.87,115.66
2021-06-23,52.32,115.05,116.91,57.01,112.28,50.73,100.1,110.4801,21.4404,61.55,19.245,16.4,166.17,17.63,57.56,49.43,52.78,118.15
2021-06-24,52.285,115.07,116.945,57.04,112.32,50.73,100.1,110.5,21.54,61.7,19.29,16.57,166.02,17.61,57.48,49.3799,53.18,121.87
2021-06-25,52.31,114.89,116.95,56.94,112.12,50.715,100.11,110.49,21.69,62.223,19.43,16.82,166.58,17.675,57.805,49.415,53.85,118.87
2021-06-28,52.32,115.16,117.1,57.07,112.335,50.73,100.101,110.485,21.37,61.33,19.11,16.31,166.58,17.67,57.81,49.54,53.42,124.55
2021-06-29,52.3699,115.25,117.12,57.015,112.3,50.7301,100.11,110.48,21.57,61.7205,19.25,16.29,164.82,17.495,56.6,48.9417,53.43,124.59
2021-06-30,52.4,115.35,117.18,57.1,112.45,50.74,100.11,110.49,21.54,61.7517,19.25,17.46,165.65,17.575,57.22,49.21,52.17,122.54
2021-07-01,51.925,115.115,117.07,57.09,111.96,50.71,100.1,110.485,21.81,62.43,19.47,17.85,166.21,17.635,57.6,49.41,51.4,121.48
2021-07-02,52.01,115.37,117.19,57.21,112.13,50.7,100.11,110.48,21.97,63.039,19.655,17.84,167.32,17.76,58.32,49.86,51.82,117.92
2021-07-06,52.03,115.75,117.32,57.315,112.21,50.705,100.1,110.48,21.49,61.651,19.31,17.005,168.12,17.85,58.95,49.76,52.6,120.35
2021-07-07,51.995,115.95,117.465,57.435,112.41,50.72,100.11,110.48,20.97,60.285,18.84,17.04,168.78,17.905,59.38,49.95,51.59,119.18
2021-07-08,52.0,116.06,117.69,57.43,112.19,50.725,100.1,110.4812,21.28,61.14,19.14,17.4,168.67,17.9,59.3,49.7799,51.82,114.58
2021-07-09,52.04,115.69,117.6,57.31,112.13,50.72,100.1,110.485,21.74,62.23,19.47,17.62,169.2,17.96,59.67,50.1,52.645,116.7
