"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 10, 2021","1.335667","1.349646","1.365446","1.318338","158.19M","-1.02%"
"Jul 09, 2021","1.349457","1.332361","1.372124","1.290265","256.51M","1.28%"
"Jul 08, 2021","1.332361","1.403818","1.406031","1.329416","243.36M","-5.09%"
"Jul 07, 2021","1.403788","1.416312","1.440092","1.400184","214.64M","-0.88%"
"Jul 06, 2021","1.416315","1.404049","1.456571","1.392450","231.11M","0.87%"
"Jul 05, 2021","1.404092","1.461305","1.461449","1.378376","295.33M","-3.94%"
"Jul 04, 2021","1.461623","1.420936","1.494345","1.420712","291.73M","2.86%"
"Jul 03, 2021","1.420936","1.395478","1.440685","1.358768","337.75M","1.82%"
"Jul 02, 2021","1.395476","1.333002","1.395578","1.286069","374.91M","4.69%"
"Jul 01, 2021","1.333002","1.383798","1.384003","1.303681","356.70M","-3.67%"
"Jun 30, 2021","1.383782","1.371166","1.398391","1.286538","472.70M","0.92%"
"Jun 29, 2021","1.371166","1.326043","1.419561","1.319506","466.56M","3.51%"
"Jun 28, 2021","1.324686","1.336319","1.349090","1.304421","403.52M","-0.81%"
"Jun 27, 2021","1.335523","1.251660","1.347845","1.241291","429.63M","6.70%"
"Jun 26, 2021","1.251660","1.254665","1.291016","1.198520","634.25M","-0.24%"
"Jun 25, 2021","1.254732","1.357038","1.395833","1.244899","943.95M","-7.54%"
"Jun 24, 2021","1.357038","1.250570","1.397310","1.202887","446.00M","8.51%"
"Jun 23, 2021","1.250572","1.151981","1.306465","1.109989","963.81M","8.56%"
"Jun 22, 2021","1.151981","1.175748","1.262511","1.001011","462.25M","-2.02%"
"Jun 21, 2021","1.175748","1.426887","1.426887","1.168048","841.29M","-17.60%"
"Jun 20, 2021","1.426877","1.385596","1.426877","1.306566","436.50M","2.98%"
"Jun 19, 2021","1.385523","1.412691","1.440531","1.383759","323.50M","-1.94%"
"Jun 18, 2021","1.412945","1.480926","1.492570","1.375567","386.36M","-4.60%"
"Jun 17, 2021","1.481025","1.484275","1.538041","1.457983","311.28M","-0.16%"
"Jun 16, 2021","1.483329","1.556441","1.574656","1.474576","385.43M","-4.70%"
"Jun 15, 2021","1.556513","1.575679","1.610409","1.544820","382.73M","-1.23%"
"Jun 14, 2021","1.575848","1.558489","1.593421","1.508744","495.19M","1.10%"
"Jun 13, 2021","1.558645","1.477265","1.579148","1.400833","594.54M","5.52%"
"Jun 12, 2021","1.477178","1.436233","1.492281","1.357757","566.56M","2.87%"
"Jun 11, 2021","1.436004","1.531531","1.545059","1.419333","442.16M","-6.24%"
"Jun 10, 2021","1.531499","1.624910","1.636207","1.508536","420.71M","-5.74%"
"Jun 09, 2021","1.624769","1.582144","1.632885","1.484039","615.75M","2.50%"
"Jun 08, 2021","1.585148","1.565180","1.594620","1.402291","779.94M","1.33%"
"Jun 07, 2021","1.564406","1.675336","1.740869","1.552949","65.27M","-6.63%"
"Jun 06, 2021","1.675504","1.658024","1.704962","1.646338","275.21M","1.05%"
"Jun 05, 2021","1.658058","1.709081","1.781766","1.611474","473.63M","-2.98%"
"Jun 04, 2021","1.709007","1.844313","1.847545","1.611868","777.49M","-7.35%"
"Jun 03, 2021","1.844539","1.753119","1.888235","1.717060","550.63M","5.22%"
"Jun 02, 2021","1.753108","1.735191","1.802463","1.719208","512.66M","1.03%"
"Jun 01, 2021","1.735191","1.739860","1.777924","1.657037","688.49M","-0.28%"
"May 31, 2021","1.739981","1.575683","1.748960","1.528023","694.83M","10.42%"
"May 30, 2021","1.575797","1.401528","1.687350","1.351712","954.14M","12.44%"
"May 29, 2021","1.401423","1.512309","1.559352","1.335377","709.80M","-7.33%"
"May 28, 2021","1.512244","1.645150","1.675289","1.452514","1.01B","-8.08%"
"May 27, 2021","1.645150","1.778123","1.783682","1.610013","699.09M","-7.47%"
"May 26, 2021","1.777995","1.551991","1.827989","1.551991","1.09B","14.56%"
"May 25, 2021","1.552066","1.547467","1.648428","1.437550","1.05B","0.31%"
"May 24, 2021","1.547325","1.315018","1.595696","1.266258","1.36B","17.65%"
"May 23, 2021","1.315168","1.462989","1.537088","1.052620","1.89B","-10.11%"
"May 22, 2021","1.463110","1.547614","1.597507","1.368931","1.11B","-5.46%"
"May 21, 2021","1.547610","1.803270","1.866117","1.324681","1.51B","-14.18%"
"May 20, 2021","1.803268","1.471770","1.939424","1.332379","1.82B","22.53%"
"May 19, 2021","1.471705","2.005473","2.026881","1.023098","2.94B","-26.62%"
"May 18, 2021","2.005655","2.031317","2.146240","1.972872","798.42M","-1.27%"
"May 17, 2021","2.031362","2.300307","2.325914","1.921478","1.49B","-11.69%"
"May 16, 2021","2.300278","2.172146","2.460070","2.016740","1.53B","5.91%"
"May 15, 2021","2.171991","2.005761","2.372682","1.971187","1.83B","8.30%"
"May 14, 2021","2.005568","1.929135","2.039183","1.812333","935.48M","3.94%"
"May 13, 2021","1.929455","1.567603","1.969697","1.500360","2.05B","23.08%"
"May 12, 2021","1.567691","1.763217","1.819243","1.549797","805.11M","-11.10%"
"May 11, 2021","1.763466","1.642677","1.777945","1.598038","736.26M","7.33%"
"May 10, 2021","1.643057","1.771404","1.822552","1.525797","990.41M","-7.17%"
"May 09, 2021","1.769900","1.620722","1.829195","1.576467","882.67M","9.21%"
"May 08, 2021","1.620694","1.653346","1.653346","1.562272","560.14M","-1.97%"
"May 07, 2021","1.653198","1.647695","1.744980","1.528678","1.04B","0.32%"
"May 06, 2021","1.647846","1.478105","1.699582","1.429214","1.73B","11.49%"
"May 05, 2021","1.477996","1.289998","1.493147","1.289998","783.15M","14.66%"
"May 04, 2021","1.288982","1.279281","1.307430","1.275654","585.18M","-5.37%"
"May 03, 2021","1.362160","1.326653","1.379869","1.321542","390.15M","2.68%"
"May 02, 2021","1.326586","1.351363","1.354633","1.295216","325.32M","-1.87%"
"May 01, 2021","1.351805","1.352141","1.367594","1.316824","317.78M","-0.02%"
"Apr 30, 2021","1.352103","1.306927","1.369855","1.287617","459.62M","3.45%"
"Apr 29, 2021","1.306997","1.336898","1.410300","1.268125","817.53M","-2.24%"
"Apr 28, 2021","1.336893","1.307518","1.348450","1.235023","575.49M","2.21%"
"Apr 27, 2021","1.307929","1.234764","1.332599","1.226349","579.44M","5.95%"
"Apr 26, 2021","1.234457","1.090052","1.249866","1.082019","713.34M","13.27%"
"Apr 25, 2021","1.089866","1.102718","1.145999","1.020446","505.26M","-1.11%"
"Apr 24, 2021","1.102116","1.156749","1.196083","1.095954","813.89M","-4.73%"
"Apr 23, 2021","1.156832","1.146238","1.166003","0.943800","1.55B","0.92%"
"Apr 22, 2021","1.146340","1.204413","1.278737","1.118130","812.88M","-4.83%"
"Apr 21, 2021","1.204510","1.267413","1.286353","1.198899","611.42M","-4.96%"
"Apr 20, 2021","1.267353","1.195932","1.281106","1.130005","794.19M","5.98%"
"Apr 19, 2021","1.195854","1.276862","1.323119","1.172362","1.02B","-6.35%"
"Apr 18, 2021","1.276922","1.370757","1.381278","1.079095","1.43B","-6.85%"
"Apr 17, 2021","1.370865","1.410760","1.456770","1.358862","603.76M","-2.84%"
"Apr 16, 2021","1.410876","1.478676","1.518048","1.335989","901.35M","-4.58%"
"Apr 15, 2021","1.478656","1.451791","1.491909","1.412216","794.86M","1.86%"
"Apr 14, 2021","1.451656","1.412445","1.556575","1.354682","1.61B","2.78%"
"Apr 13, 2021","1.412372","1.315437","1.436732","1.283105","208.73M","7.36%"
"Apr 12, 2021","1.315495","1.263286","1.349398","1.263286","873.74M","4.15%"
"Apr 11, 2021","1.263122","1.217913","1.289768","1.199939","667.69M","3.71%"
"Apr 10, 2021","1.217928","1.202072","1.250884","1.194880","432.91M","1.33%"
"Apr 09, 2021","1.201904","1.218713","1.228863","1.192572","277.94M","-1.39%"
"Apr 08, 2021","1.218895","1.172356","1.224185","1.170494","394.52M","3.82%"
"Apr 07, 2021","1.174041","1.251906","1.289109","1.160138","742.13M","-6.22%"
"Apr 06, 2021","1.251885","1.211708","1.337037","1.191666","1.11B","3.32%"
"Apr 05, 2021","1.211655","1.182041","1.225130","1.162444","484.02M","2.51%"
"Apr 04, 2021","1.181938","1.163331","1.192717","1.153394","370.27M","1.60%"
"Apr 03, 2021","1.163307","1.190299","1.240621","1.160046","531.51M","-2.26%"
"Apr 02, 2021","1.190254","1.182849","1.243753","1.181292","431.79M","0.63%"
"Apr 01, 2021","1.182820","1.191503","1.207497","1.172995","367.82M","-0.72%"
"Mar 31, 2021","1.191349","1.212802","1.212802","1.156534","466.52M","-1.76%"
"Mar 30, 2021","1.212645","1.202663","1.234403","1.189996","397.50M","0.82%"
"Mar 29, 2021","1.202812","1.189703","1.229173","1.178932","401.46M","1.12%"
"Mar 28, 2021","1.189546","1.176711","1.219066","1.167361","394.82M","1.08%"
"Mar 27, 2021","1.176785","1.214468","1.237017","1.157739","474.01M","-3.10%"
"Mar 26, 2021","1.214457","1.096385","1.285602","1.095453","1.05B","10.76%"
"Mar 25, 2021","1.096429","1.067662","1.147186","1.048504","699.56M","2.45%"
"Mar 24, 2021","1.070167","1.115114","1.163537","1.040072","499.18M","-4.14%"
"Mar 23, 2021","1.116343","1.102994","1.172833","1.082002","562.87M","1.17%"
"Mar 22, 2021","1.103464","1.186177","1.207608","1.080014","611.13M","-7.02%"
"Mar 21, 2021","1.186839","1.200454","1.241073","1.160777","514.59M","-1.13%"
"Mar 20, 2021","1.200409","1.295849","1.308095","1.200311","658.17M","-7.37%"
"Mar 19, 2021","1.295932","1.231269","1.341873","1.183538","1.26B","5.26%"
"Mar 18, 2021","1.231230","1.377636","1.471938","1.224661","2.04B","-10.61%"
"Mar 17, 2021","1.377406","1.249272","1.428258","1.204458","1.64B","10.26%"
"Mar 16, 2021","1.249261","1.030562","1.263173","1.001835","1.77B","21.18%"
"Mar 15, 2021","1.030954","1.055232","1.070274","1.001102","657.33M","-2.29%"
"Mar 14, 2021","1.055119","1.101274","1.101913","1.055119","553.68M","-4.19%"
"Mar 13, 2021","1.101309","1.032086","1.187990","0.988142","977.08M","6.71%"
"Mar 12, 2021","1.032050","1.124343","1.127044","1.029758","642.18M","-8.19%"
"Mar 11, 2021","1.124155","1.133355","1.138997","1.108931","477.61M","-0.79%"
"Mar 10, 2021","1.133092","1.197082","1.206864","1.118046","626.55M","-5.35%"
"Mar 09, 2021","1.197200","1.118474","1.218388","1.112578","898.49M","7.04%"
"Mar 08, 2021","1.118466","1.131434","1.177986","1.106716","625.53M","-1.19%"
"Mar 07, 2021","1.131882","1.129369","1.144386","1.107014","445.10M","0.25%"
"Mar 06, 2021","1.129016","1.158277","1.181553","1.086688","757.08M","-2.52%"
"Mar 05, 2021","1.158227","1.112463","1.195702","1.037863","1.31B","4.11%"
"Mar 04, 2021","1.112490","1.214405","1.229926","1.068434","1.10B","-8.39%"
"Mar 03, 2021","1.214324","1.224523","1.265522","1.209046","707.02M","-0.84%"
"Mar 02, 2021","1.224643","1.296248","1.298971","1.182334","1.10B","-5.52%"
"Mar 01, 2021","1.296200","1.311820","1.344067","1.233117","1.61B","-0.88%"
"Feb 28, 2021","1.307673","1.316618","1.358473","1.158604","2.49B","-0.68%"
"Feb 27, 2021","1.316575","1.241612","1.484147","1.230460","3.07B","6.04%"
"Feb 26, 2021","1.241585","1.075130","1.294985","0.993046","2.73B","15.48%"
"Feb 25, 2021","1.075170","1.048631","1.173298","1.012847","1.56B","2.58%"
"Feb 24, 2021","1.048148","0.963806","1.075098","0.899630","1.67B","8.73%"
"Feb 23, 2021","0.963973","1.097312","1.140453","0.811454","2.65B","-12.12%"
"Feb 22, 2021","1.096866","1.099800","1.144536","0.838872","2.03B","-0.27%"
"Feb 21, 2021","1.099821","1.115611","1.149715","1.075037","1.18B","-1.46%"
"Feb 20, 2021","1.116149","0.925955","1.197130","0.914190","279.64M","20.55%"
"Feb 19, 2021","0.925894","0.913695","0.945353","0.880769","839.10M","1.33%"
"Feb 18, 2021","0.913752","0.891719","0.956599","0.891719","904.68M","2.47%"
"Feb 17, 2021","0.891702","0.870390","0.897079","0.823855","750.02M","2.45%"
"Feb 16, 2021","0.870393","0.859853","0.905065","0.834791","929.87M","1.19%"
"Feb 15, 2021","0.860200","0.844413","0.910412","0.689130","1.44B","1.87%"
"Feb 14, 2021","0.844426","0.912384","0.918701","0.808192","874.61M","-7.32%"
"Feb 13, 2021","0.911147","0.924834","0.950019","0.825068","993.01M","-1.48%"
"Feb 12, 2021","0.924877","0.929328","0.947390","0.867980","1.08B","-0.48%"
"Feb 11, 2021","0.929292","0.940409","0.979057","0.866845","1.77B","-1.18%"
"Feb 10, 2021","0.940364","0.705796","0.949600","0.705785","2.50B","33.23%"
"Feb 09, 2021","0.705831","0.677764","0.711944","0.665963","1.12B","4.20%"
"Feb 08, 2021","0.677404","0.662603","0.722746","0.633918","2.06B","2.24%"
"Feb 07, 2021","0.662569","0.633871","0.706656","0.585794","2.60B","4.53%"
"Feb 06, 2021","0.633867","0.538670","0.665835","0.520923","2.08B","17.52%"
"Feb 05, 2021","0.539350","0.439523","0.559419","0.436634","2.00B","22.71%"
"Feb 04, 2021","0.439519","0.441871","0.449576","0.410869","736.38M","-0.53%"
"Feb 03, 2021","0.441872","0.425804","0.448403","0.415397","1.10B","3.78%"
"Feb 02, 2021","0.425759","0.408364","0.455238","0.389107","2.25B","4.27%"
"Feb 01, 2021","0.408341","0.345057","0.423010","0.333367","1.32B","18.35%"
"Jan 31, 2021","0.345023","0.363612","0.376612","0.338177","662.74M","-5.12%"
"Jan 30, 2021","0.363623","0.347435","0.375503","0.337283","871.81M","4.61%"
"Jan 29, 2021","0.347593","0.343780","0.367867","0.331022","1.07B","1.12%"
"Jan 28, 2021","0.343750","0.311949","0.355185","0.304564","833.04M","10.19%"
"Jan 27, 2021","0.311971","0.343549","0.343795","0.304737","761.35M","-9.19%"
"Jan 26, 2021","0.343527","0.343088","0.350626","0.324696","627.44M","0.13%"
"Jan 25, 2021","0.343094","0.353150","0.363861","0.340669","752.02M","-2.85%"
"Jan 24, 2021","0.353172","0.345736","0.368806","0.337366","802.72M","2.20%"
"Jan 23, 2021","0.345559","0.349081","0.357474","0.336130","897.55M","-1.23%"
"Jan 22, 2021","0.349855","0.307760","0.359574","0.280957","1.53B","13.69%"
"Jan 21, 2021","0.307722","0.375534","0.378560","0.300010","1.29B","-18.05%"
"Jan 20, 2021","0.375510","0.367771","0.376512","0.331135","1.11B","2.10%"
"Jan 19, 2021","0.367770","0.371029","0.384717","0.362810","984.20M","-0.87%"
"Jan 18, 2021","0.371004","0.381314","0.396712","0.364763","1.24B","-2.70%"
"Jan 17, 2021","0.381294","0.350462","0.397074","0.341627","2.25B","8.56%"
"Jan 16, 2021","0.351231","0.302506","0.366729","0.302343","1.95B","16.10%"
"Jan 15, 2021","0.302516","0.312581","0.331047","0.278850","1.36B","-2.74%"
"Jan 14, 2021","0.311028","0.312734","0.324066","0.298576","-","-0.55%"
"Jan 13, 2021","0.312734","0.288664","0.315370","0.271251","1.17B","8.74%"
"Jan 12, 2021","0.287594","0.275912","0.313894","0.264095","1.87B","4.24%"
"Jan 11, 2021","0.275906","0.301685","0.303541","0.230289","2.02B","-8.74%"
"Jan 10, 2021","0.302328","0.330167","0.340511","0.280119","1.43B","-8.43%"
